explotacion;tipo;especie;clasif;municipio;provincia;oca;huso;longitud_utm;latitud_utm;sistema_productivo;capacidad_productiva;criterio_sostenibilidad;capacidad_menos_4meses;capacidad_4_y_12meses;capacidad_machos;capacidad_hembras;capacidad
ES220157200003;Pasto;Ovino;Reproducción para producción de carne;Alcalá del Obispo;HUESCA;HUESCA;30;724995;4662609;;;;;;;400;400
ES220157200003;Pasto;Caprino;Reproducción para producción de carne;Alcalá del Obispo;HUESCA;HUESCA;30;724995;4662609;;;;;;;10;10
ES220160000600;Producción y reproducción;Caprino;Reproducción para producción de carne;Alcampell;HUESCA;TAMARITE DE LITERA;30;788450;4630420;;;Convencional;;;;10;10
ES220160000600;Producción y reproducción;Ovino;Reproducción para producción de carne;Alcampell;HUESCA;TAMARITE DE LITERA;30;788460;4630432;;;Convencional;;;;1300;1300
ES220160000602;Producción y reproducción;Caprino;Reproducción para producción de carne;Alcampell;HUESCA;TAMARITE DE LITERA;30;786915;4630695;;;Convencional;;;;10;10
ES220160000602;Producción y reproducción;Ovino;Reproducción para producción de carne;Alcampell;HUESCA;TAMARITE DE LITERA;30;786926;4630702;;;Convencional;;;;1261;1261
ES220160000603;Producción y reproducción;Ovino;Reproducción para producción de leche;Alcampell;HUESCA;TAMARITE DE LITERA;30;787043;4631076;;;Convencional;;;;720;720
ES220160000609;Producción y reproducción;Caprino;Reproducción para producción de carne;Alcampell;HUESCA;TAMARITE DE LITERA;30;788339;4631501;;;Convencional;;;;10;10
ES220160000609;Producción y reproducción;Ovino;Reproducción para producción de carne;Alcampell;HUESCA;TAMARITE DE LITERA;30;788330;4631510;;;Convencional;;;;165;165
ES220167200004;Pasto;Ovino;;Alcampell;HUESCA;TAMARITE DE LITERA;30;788166;4633807;;;Convencional;;;;1100;1100
ES220167200004;Pasto;Caprino;;Alcampell;HUESCA;TAMARITE DE LITERA;30;788166;4633807;;;Convencional;;;;10;10
ES220167200005;Pasto;Ovino;Reproducción para producción de carne;Alcampell;HUESCA;TAMARITE DE LITERA;30;786712;4642413;;;;;;;150;150
ES220167200005;Pasto;Caprino;Reproducción para producción de carne;Alcampell;HUESCA;TAMARITE DE LITERA;30;786712;4642413;;;;;;;20;20
ES220170000609;Producción y reproducción;Ovino;Reproducción para producción de carne;Alcolea de Cinca;HUESCA;MONZÓN;30;755141;4623307;;;Convencional;;;;710;710
ES220170000609;Producción y reproducción;Caprino;Reproducción para producción de carne;Alcolea de Cinca;HUESCA;MONZÓN;30;755140;4623325;;;Convencional;;;;10;10
ES220170000616;Producción y reproducción;Ovino;Reproducción para producción de carne;Alcolea de Cinca;HUESCA;MONZÓN;30;752200;4625270;;;Convencional;;;;2000;2000
ES220170000616;Producción y reproducción;Caprino;Reproducción para producción de carne;Alcolea de Cinca;HUESCA;MONZÓN;30;752180;4625270;;;Convencional;;;;10;10
ES220170000619;Producción y reproducción;Caprino;Reproducción para producción de carne;Alcolea de Cinca;HUESCA;MONZÓN;30;758800;4624330;;;Convencional;;;;10;10
ES220170000619;Producción y reproducción;Ovino;Reproducción para producción de carne;Alcolea de Cinca;HUESCA;MONZÓN;30;758790;4624322;;;Convencional;;;;496;496
ES220170000621;Producción y reproducción;Caprino;Reproducción para producción de carne;Alcolea de Cinca;HUESCA;MONZÓN;30;752180;4625230;;;;;;;10;10
ES220170000621;Producción y reproducción;Ovino;Reproducción para producción de carne;Alcolea de Cinca;HUESCA;MONZÓN;30;758950;4621610;;;;;;;2599;2599
ES220180000600;Producción y reproducción;Caprino;Reproducción para producción de carne;Alcubierre;HUESCA;SARIÑENA;30;711685;4632723;;;Convencional;;;;10;10
ES220180000600;Producción y reproducción;Ovino;Reproducción para producción de carne;Alcubierre;HUESCA;SARIÑENA;30;711692;4632720;;;Convencional;;;;706;706
ES220180000604;Producción y reproducción;Ovino;Reproducción para producción de carne;Alcubierre;HUESCA;SARIÑENA;30;711700;4631260;;;Convencional;;;;299;299
ES220180000604;Producción y reproducción;Caprino;Reproducción para producción de carne;Alcubierre;HUESCA;SARIÑENA;30;711690;4631260;;;Convencional;;;;10;10
ES220180000611;Producción y reproducción;Ovino;Reproducción para producción de carne;Alcubierre;HUESCA;SARIÑENA;30;716114;4632617;;;Convencional;;;;176;176
ES220180000611;Producción y reproducción;Caprino;Reproducción para producción de carne;Alcubierre;HUESCA;SARIÑENA;30;716125;4632625;;;Convencional;;;;10;10
ES220187200001;Pasto;Ovino;;Alcubierre;HUESCA;SARIÑENA;30;708694;4623717;;;Convencional;;;;3800;3800
ES220187200001;Pasto;Caprino;;Alcubierre;HUESCA;SARIÑENA;30;708694;4623717;;;Convencional;;;;10;10
ES220187200002;Pasto;Caprino;Reproducción para producción de carne;Alcubierre;HUESCA;SARIÑENA;30;708328;4626744;;;;;;;10;10
ES220187200002;Pasto;Ovino;Reproducción para producción de carne;Alcubierre;HUESCA;SARIÑENA;30;708328;4626744;;;;;;;600;600
ES220190000601;Producción y reproducción;Ovino;Reproducción para producción de carne;Alerre;HUESCA;HUESCA;30;707868;4671600;;;Convencional;;;;132;132
ES220190000601;Producción y reproducción;Caprino;Reproducción para producción de carne;Alerre;HUESCA;HUESCA;30;707880;4671605;;;Convencional;;;;10;10
ES220190000602;Producción y reproducción;Ovino;Reproducción para producción de carne;Alerre;HUESCA;HUESCA;30;708443;4669780;;;Convencional;;;;924;924
ES220190000602;Producción y reproducción;Caprino;Reproducción para producción de carne;Alerre;HUESCA;HUESCA;30;708430;4669790;;;Convencional;;;;10;10
ES220190000604;Producción y reproducción;Caprino;Reproducción para producción de carne;Alerre;HUESCA;HUESCA;30;708270;4669800;;;Convencional;;;;10;10
ES220190000604;Producción y reproducción;Ovino;Reproducción para producción de carne;Alerre;HUESCA;HUESCA;30;708263;4669790;;;Convencional;;;;1000;1000
ES220207200001;Pasto;Ovino;Reproducción para producción de carne;Alfántega;HUESCA;MONZÓN;30;761671;4634542;;;;;;;830;830
ES220207200001;Pasto;Caprino;Reproducción para producción de carne;Alfántega;HUESCA;MONZÓN;30;761671;4634542;;;;;;;10;10
ES220210000601;Producción y reproducción;Ovino;Reproducción para producción de carne;Almudévar;HUESCA;HUESCA;30;698932;4658710;;;Convencional;;;;700;700
ES220210000601;Producción y reproducción;Caprino;Reproducción para producción de carne;Almudévar;HUESCA;HUESCA;30;698925;4658700;;;Convencional;;;;10;10
ES220210000607;Producción y reproducción;Ovino;Reproducción para producción de carne;Almudévar;HUESCA;HUESCA;30;695459;4656364;;;Convencional;;;;100;100
ES220210000607;Producción y reproducción;Caprino;Reproducción para producción de carne;Almudévar;HUESCA;HUESCA;30;695470;4656370;;;Convencional;;;;10;10
ES220210000614;Producción y reproducción;Ovino;Reproducción para producción de carne;Almudévar;HUESCA;HUESCA;30;697662;4655530;;;Convencional;;;;800;800
ES220210000614;Producción y reproducción;Caprino;Reproducción para producción de carne;Almudévar;HUESCA;HUESCA;30;697670;4655520;;;Convencional;;;;10;10
ES220210000625;Producción y reproducción;Caprino;Reproducción para producción de carne;Almudévar;HUESCA;HUESCA;30;702920;4666375;;;Convencional;;;;70;70
ES220210000625;Producción y reproducción;Ovino;Reproducción para producción de carne;Almudévar;HUESCA;HUESCA;30;702901;4666385;;;Convencional;250;250;;1430;1930
ES220210000635;Producción y reproducción;Caprino;Reproducción para producción de carne;Almudévar;HUESCA;HUESCA;30;702695;4663300;;;Convencional;;;;10;10
ES220210000635;Producción y reproducción;Ovino;Reproducción para producción de carne;Almudévar;HUESCA;HUESCA;30;702686;4663302;;;Convencional;;;;375;375
ES220210000643;Producción y reproducción;Caprino;Reproducción para producción de carne;Almudévar;HUESCA;HUESCA;30;701387;4654232;;;;;;;10;10
ES220210000643;Producción y reproducción;Ovino;Reproducción para producción de carne;Almudévar;HUESCA;HUESCA;30;701387;4654232;;;;;;;1000;1000
ES220217200001;Pasto;Ovino;;Almudévar;HUESCA;HUESCA;30;699228;4658417;;;Convencional;;;;848;848
ES220217200001;Pasto;Caprino;;Almudévar;HUESCA;HUESCA;30;699228;4658417;;;Convencional;;;;10;10
ES220217200003;Pasto;Ovino;;Almudévar;HUESCA;HUESCA;30;703515;4665000;;;Convencional;;;;800;800
ES220217200003;Pasto;Caprino;;Almudévar;HUESCA;HUESCA;30;703515;4665000;;;Convencional;;;;10;10
ES220217200004;Pasto;Ovino;;Almudévar;HUESCA;HUESCA;30;701660;4666815;;;Convencional;;;;250;250
ES220217200004;Pasto;Caprino;;Almudévar;HUESCA;HUESCA;30;701660;4666815;;;Convencional;;;;10;10
ES220217200007;Pasto;Caprino;Reproducción para producción de carne;Almudévar;HUESCA;HUESCA;30;693604;4656383;;;;;;;10;10
ES220217200007;Pasto;Ovino;Reproducción para producción de carne;Almudévar;HUESCA;HUESCA;30;693604;4656383;;;;;;;50;50
ES220217200008;Pasto;Ovino;Reproducción para producción de carne;Almudévar;HUESCA;HUESCA;30;697491;4649525;;;Convencional;;;;500;500
ES220217200009;Pasto;Ovino;Reproducción para producción de carne;Almudévar;HUESCA;HUESCA;30;694972;4654691;;;Convencional;;;;1000;1000
ES220217200010;Pasto;Ovino;Reproducción para producción de carne;Almudévar;HUESCA;HUESCA;30;701102;4655661;;;;;;;1000;1000
ES220217200010;Pasto;Caprino;Reproducción para producción de carne;Almudévar;HUESCA;HUESCA;30;701102;4655661;;;;;;;10;10
ES220217200011;Pasto;Ovino;Reproducción para producción de carne;Almudévar;HUESCA;HUESCA;30;706754;4663807;;;;;;;2000;2000
ES220220000602;Producción y reproducción;Ovino;Reproducción para producción de carne;Almunia de San Juan;HUESCA;MONZÓN;30;768900;4648010;;;Convencional;;;;550;550
ES220220000602;Producción y reproducción;Caprino;Reproducción para producción de carne;Almunia de San Juan;HUESCA;MONZÓN;30;768920;4648010;;;Convencional;;;;10;10
ES220227200001;Pasto;Caprino;;Almunia de San Juan;HUESCA;MONZÓN;30;770679;4645815;;;Convencional;;;;300;300
ES220227200001;Pasto;Ovino;;Almunia de San Juan;HUESCA;MONZÓN;30;770679;4645815;;;Convencional;;;;1700;1700
ES220230000601;Producción y reproducción;Ovino;Reproducción para producción de carne;Almuniente;HUESCA;GRAÑÉN;30;714108;4642743;;;Convencional;;;;750;750
ES220230000601;Producción y reproducción;Caprino;Reproducción para producción de carne;Almuniente;HUESCA;GRAÑÉN;30;714100;4642740;;;Convencional;;;;10;10
ES220240000602;Producción y reproducción;Caprino;Reproducción para producción de carne;Alquézar;HUESCA;BARBASTRO;30;747122;4673344;;;Convencional;;;;10;10
ES220240000602;Producción y reproducción;Ovino;Reproducción para producción de carne;Alquézar;HUESCA;BARBASTRO;30;747093;4673350;;;Convencional;;;;1643;1643
ES220240000607;Producción y reproducción;Caprino;Reproducción para producción de carne;Alquézar;HUESCA;BARBASTRO;30;747393;4673550;;;Convencional;;;;10;10
ES220240000607;Producción y reproducción;Ovino;Reproducción para producción de carne;Alquézar;HUESCA;BARBASTRO;30;747393;4673550;;;Convencional;;;;500;500
ES220240000610;Producción y reproducción;Caprino;Reproducción para producción de carne;Alquézar;HUESCA;BARBASTRO;30;748003;4675114;;;Convencional;;;;10;10
ES220240000610;Producción y reproducción;Ovino;Reproducción para producción de carne;Alquézar;HUESCA;BARBASTRO;30;748003;4675116;;;Convencional;;;;700;700
ES220247200001;Pasto;Ovino;Reproducción para producción de carne;Alquézar;HUESCA;BARBASTRO;30;748469;4674852;;;;;;;12;12
ES220247200002;Pasto;Ovino;Reproducción para producción de carne;Alquézar;HUESCA;BARBASTRO;30;747618;4676122;;;;;;;600;600
ES220247200002;Pasto;Caprino;Reproducción para producción de carne;Alquézar;HUESCA;BARBASTRO;30;747618;4676122;;;;;;;10;10
ES220250000604;Producción y reproducción;Ovino;Reproducción para producción de carne;Altorricón;HUESCA;TAMARITE DE LITERA;30;783049;4633104;;;Convencional;;;30;1146;1176
